Word,Pronunciation,Definition,HSK Level
阿姨,ā yí,maternal aunt; step-mother; childcare worker; nursemaid; woman of similar age to one's parents (term of address used by child); CL:個|个[ge4],3
啊,a,"modal particle ending sentence, showing affirmation, approval, or consent",3
唉,āi,"interjection or grunt of agreement or recognition (e.g. yes, it's me!); to sigh",5
哎哟,āi yō,hey; ow; ouch; interjection of pain or surprise,6
挨,ái,to suffer from; to endure; to tide over (a difficult period); to delay,6
癌症,ái zhèng,cancer,6
矮,ǎi,low; short (in length),3
爱,ài,to love; affection; to be fond of; to like,1
爱不释手,ài bù shì shǒu,to love sth too much to part with it (idiom); to fondle admiringly,6
爱戴,ài dài,to love and respect; love and respect,6
爱好,ài hào,to like; to take pleasure in; keen on; fond of; interest; hobby; appetite for; CL:個|个[ge4],3
爱护,ài hù,to cherish; to treasure; to take care of; to love and protect,5
暧昧,ài mèi,vague; ambiguous; equivocal; dubious,6
爱情,ài qíng,romance; love (romantic); CL:個|个[ge4],4
爱惜,ài xī,to cherish; to treasure; to use sparingly,5
爱心,ài xīn,compassion; CL:片[pian4],5
安静,ān jìng,quiet; peaceful; calm,3
安居乐业,ān jū lè yè,live in peace and work happily (idiom),6
安宁,ān níng,peaceful; tranquil; calm; composed,6
安排,ān pái,to arrange; to plan; to set up,4
安全,ān quán,safe; secure; safety; security,4
安慰,ān wèi,to comfort; to console; CL:個|个[ge4],5
安详,ān xiáng,serene,6
安置,ān zhì,find a place for; help settle down; arrange for; to get into bed; placement,6
安装,ān zhuāng,install; erect; fix; mount; installation,5
岸,àn,bank; shore; beach; coast; CL:個|个[ge4],5
暗,àn,dark; gloomy; hidden; secret; muddled; obscure; in the dark,4
案件,àn jiàn,"law case; legal case; judicial case; CL:宗[zong1],樁|桩[zhuang1],起[qi3]",6
案例,àn lì,case (law); CL:個|个[ge4],6
按摩,àn mó,massage,6
按时,àn shí,on time; before deadline; on schedule,4
暗示,àn shì,to hint; to suggest; suggestion; a hint,6
按照,àn zhào,according to; in accordance with; in the light of; on the basis of,4
